,,backSightDistance,dhw,followingId,frontSightDistance,height,laneID,leftAlongsideId,leftFollowingId,leftPrecedingId,loc_x,loc_y,precedingId,precedingXVelocity,rightAlongsideId,rightFollowingId,rightPrecedingId,thw,ttc,width,xAcceleration,xVelocity,yAcceleration,yVelocity
loc_x,150,0.22666666666666666,0.06,0.03333333333333333,0.02,0.013333333333333334,0.04666666666666667,0.0,0.006666666666666667,0.0,0.36,0.04,0.09333333333333334,0.0,0.0,0.03333333333333333,0.013333333333333334,0.02,0.0,0.02,0.0,0.0,0.0,0.013333333333333334
loc_y,150,0.3,0.02666666666666667,0.05333333333333334,0.06666666666666667,0.03333333333333333,0.12,0.0,0.0,0.0,0.006666666666666667,0.12,0.04666666666666667,0.0,0.02666666666666667,0.05333333333333334,0.04,0.03333333333333333,0.0,0.07333333333333333,0.0,0.0,0.0,0.0
width,150,0.22,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.08,0.08666666666666667,0.06666666666666667,0.02,0.03333333333333333,0.02,0.06666666666666667,0.006666666666666667,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.23333333333333334,0.0,0.0,0.0,0.0
height,150,0.26666666666666666,0.02,0.02,0.03333333333333333,0.16,0.02666666666666667,0.013333333333333334,0.013333333333333334,0.0,0.11333333333333333,0.10666666666666667,0.10666666666666667,0.0,0.0,0.02,0.0,0.013333333333333334,0.0,0.08666666666666667,0.0,0.0,0.0,0.0
xVelocity,150,0.19333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.46,0.0,0.0
yVelocity,150,0.21333333333333335,0.006666666666666667,0.006666666666666667,0.02,0.0,0.02,0.02666666666666667,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.20666666666666667,0.48
xAcceleration,150,0.24666666666666667,0.006666666666666667,0.013333333333333334,0.013333333333333334,0.0,0.0,0.006666666666666667,0.006666666666666667,0.0,0.0,0.006666666666666667,0.02666666666666667,0.0,0.1,0.02,0.04666666666666667,0.0,0.0,0.0,0.32666666666666666,0.006666666666666667,0.02,0.15333333333333332
yAcceleration,150,0.29333333333333333,0.04,0.0,0.02,0.006666666666666667,0.0,0.02666666666666667,0.0,0.006666666666666667,0.013333333333333334,0.006666666666666667,0.0,0.013333333333333334,0.006666666666666667,0.0,0.006666666666666667,0.0,0.04666666666666667,0.006666666666666667,0.0,0.006666666666666667,0.25333333333333335,0.24666666666666667
frontSightDistance,150,0.21333333333333335,0.006666666666666667,0.013333333333333334,0.04666666666666667,0.1,0.06,0.0,0.013333333333333334,0.006666666666666667,0.12,0.13333333333333333,0.15333333333333332,0.0,0.013333333333333334,0.02666666666666667,0.05333333333333334,0.02,0.0,0.006666666666666667,0.006666666666666667,0.0,0.006666666666666667,0.0
backSightDistance,150,0.44666666666666666,0.04666666666666667,0.12,0.006666666666666667,0.16,0.013333333333333334,0.0,0.02,0.0,0.03333333333333333,0.03333333333333333,0.04666666666666667,0.0,0.0,0.05333333333333334,0.0,0.006666666666666667,0.0,0.006666666666666667,0.006666666666666667,0.0,0.0,0.0
dhw,150,0.22,0.18,0.013333333333333334,0.006666666666666667,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.03333333333333333,0.03333333333333333,0.12666666666666668,0.03333333333333333,0.04,0.0,0.0,0.013333333333333334,0.006666666666666667,0.10666666666666667,0.0,0.10666666666666667,0.0,0.0,0.0,0.0
thw,150,0.28,0.20666666666666667,0.02,0.013333333333333334,0.04,0.013333333333333334,0.04,0.07333333333333333,0.07333333333333333,0.04,0.013333333333333334,0.03333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.006666666666666667,0.06666666666666667,0.0,0.0,0.013333333333333334,0.0
ttc,150,0.26666666666666666,0.006666666666666667,0.02,0.02666666666666667,0.006666666666666667,0.013333333333333334,0.05333333333333334,0.04666666666666667,0.05333333333333334,0.04666666666666667,0.04,0.04,0.02,0.0,0.013333333333333334,0.02,0.0,0.15333333333333332,0.013333333333333334,0.0,0.06,0.04,0.06
precedingXVelocity,150,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.006666666666666667,0.04,0.0,0.0,0.4866666666666667,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.28,0.0,0.0
precedingId,150,0.16,0.006666666666666667,0.02,0.06,0.06,0.06666666666666667,0.0,0.0,0.013333333333333334,0.09333333333333334,0.03333333333333333,0.26666666666666666,0.0,0.006666666666666667,0.06666666666666667,0.07333333333333333,0.0,0.0,0.05333333333333334,0.0,0.0,0.006666666666666667,0.013333333333333334
followingId,150,0.30666666666666664,0.02,0.12666666666666668,0.06,0.11333333333333333,0.013333333333333334,0.006666666666666667,0.013333333333333334,0.0,0.08666666666666667,0.09333333333333334,0.013333333333333334,0.0,0.0,0.1,0.013333333333333334,0.013333333333333334,0.0,0.02,0.0,0.0,0.0,0.0
leftPrecedingId,150,0.21333333333333335,0.02,0.0,0.0,0.0,0.0,0.08,0.15333333333333332,0.47333333333333333,0.013333333333333334,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.03333333333333333,0.0,0.0,0.0,0.0
leftAlongsideId,150,0.2733333333333333,0.006666666666666667,0.0,0.0,0.006666666666666667,0.0,0.3333333333333333,0.18,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.04666666666666667,0.05333333333333334,0.0,0.0,0.02666666666666667,0.006666666666666667
leftFollowingId,150,0.24666666666666667,0.0,0.006666666666666667,0.02,0.0,0.0,0.006666666666666667,0.4066666666666667,0.29333333333333333,0.013333333333333334,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
