,,acceleration,allow_speed,angle,change_lane,distance,follower_vehicle_distance,follower_vehicle_speed,lane_id,lane_position,last_action_time,leader_vehicle_distance,leader_vehicle_speed,left_follower_vehicle_distance,left_follower_vehicle_speed,left_leader_vehicle_distance,left_leader_vehicle_speed,max_acceleration,max_deceleration,max_speed,position_x,position_y,right_follower_vehicle_distance,right_follower_vehicle_speed,right_leader_vehicle_distance,right_leader_vehicle_speed,road_id,signal_states,speed,tua,wait_time
speed,70,0.12857142857142856,0.0,0.014285714285714285,0.0,0.3142857142857143,0.014285714285714285,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,0.0,0.4714285714285714,0.0,0.0
max_speed,70,0.11428571428571428,0.0,0.014285714285714285,0.04285714285714286,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.05714285714285714,0.42857142857142855,0.04285714285714286,0.14285714285714285,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.014285714285714285,0.02857142857142857,0.0
acceleration,70,0.6857142857142857,0.0,0.0,0.0,0.07142857142857142,0.05714285714285714,0.014285714285714285,0.0,0.014285714285714285,0.0,0.014285714285714285,0.014285714285714285,0.0,0.0,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.02857142857142857,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857
max_acceleration,70,0.08571428571428572,0.014285714285714285,0.0,0.1,0.0,0.0,0.0,0.07142857142857142,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.07142857142857142,0.4,0.0,0.08571428571428572,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
max_deceleration,70,0.17142857142857143,0.0,0.02857142857142857,0.04285714285714286,0.014285714285714285,0.0,0.0,0.12857142857142856,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,0.07142857142857142,0.3142857142857143,0.0,0.08571428571428572,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0,0.0,0.0
allow_speed,70,0.12857142857142856,0.18571428571428572,0.014285714285714285,0.0,0.1,0.0,0.0,0.07142857142857142,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,0.014285714285714285,0.11428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.2571428571428571,0.0,0.0
position_x,70,0.11428571428571428,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.1,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.1,0.4714285714285714,0.0,0.08571428571428572,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.02857142857142857,0.0
position_y,70,0.12857142857142856,0.0,0.05714285714285714,0.02857142857142857,0.0,0.0,0.0,0.05714285714285714,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.02857142857142857,0.38571428571428573,0.014285714285714285,0.24285714285714285,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0
angle,70,0.15714285714285714,0.0,0.6857142857142857,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.014285714285714285,0.0,0.0
road_id,70,0.12857142857142856,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.44285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.08571428571428572,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.24285714285714285,0.0,0.0,0.014285714285714285,0.0
